id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
3142,0,No,4,,No,14,9,Extrovert
3143,0,No,9,7,No,9,9,Extrovert
3144,3,No,6,6,No,6,3,Extrovert
3145,2,No,7,7,No,9,4,Extrovert
3146,2,No,9,6,No,14,5,Extrovert
3147,1,No,6,5,No,,4,Extrovert
3148,1,No,5,4,No,11,4,Extrovert
3149,7,Yes,,2,,4,0,Introvert
3150,2,No,9,5,No,13,10,Extrovert
3151,11,Yes,3,0,Yes,2,1,Introvert
3152,4,Yes,3,1,Yes,5,2,Introvert
3153,5,Yes,3,2,,0,0,Extrovert
3154,6,Yes,1,2,Yes,3,,Introvert
3155,6,Yes,0,3,Yes,1,2,Introvert
3156,1,No,7,,No,8,7,Extrovert
3157,11,Yes,2,0,,3,0,Introvert
3158,3,No,8,4,No,14,4,Extrovert
3159,10,Yes,1,0,,1,0,Introvert
3160,11,,2,1,Yes,3,0,Introvert
3161,0,,5,6,No,12,4,Extrovert
3162,1,No,7,5,No,12,9,Extrovert
3163,1,No,5,7,No,8,6,Extrovert
3164,3,No,5,5,No,10,3,Extrovert
3165,3,No,9,6,No,4,8,Extrovert
3166,10,Yes,3,1,Yes,1,1,Introvert
3167,1,No,,4,No,10,6,Extrovert
3168,9,Yes,3,3,Yes,3,3,Introvert
3169,6,,0,3,Yes,4,3,Introvert
3170,1,No,6,5,No,5,4,Extrovert
3171,2,No,5,5,No,11,8,Extrovert
3172,8,Yes,,,Yes,2,,Introvert
3173,9,Yes,2,3,Yes,1,1,Introvert
3174,0,No,10,4,No,8,,Extrovert
3175,,,3,7,No,11,5,Extrovert
3176,5,Yes,,0,Yes,3,,Introvert
3177,3,No,6,4,No,8,8,Extrovert
3178,2,No,5,6,No,,6,Extrovert
3179,1,No,7,4,No,13,8,Extrovert
3180,1,No,,5,No,7,8,Extrovert
3181,8,Yes,9,2,Yes,2,0,Introvert
3182,,Yes,3,1,Yes,0,0,Introvert
3183,4,No,8,3,No,14,8,Extrovert
3184,11,Yes,3,1,Yes,3,2,Introvert
3185,11,Yes,2,1,Yes,4,2,Introvert
3186,3,,8,5,No,6,7,Extrovert
3187,5,Yes,3,2,Yes,,2,Introvert
3188,1,No,5,7,No,8,3,Extrovert
3189,0,No,8,6,No,7,4,Extrovert
3190,0,No,9,3,No,10,7,Extrovert
3191,5,Yes,0,0,Yes,1,3,Extrovert
3192,2,No,10,4,No,9,5,Extrovert
3193,1,No,9,3,No,6,10,Extrovert
3194,0,No,5,5,No,12,,Extrovert
3195,2,No,6,3,No,,9,Extrovert
3196,3,No,10,5,No,12,4,Extrovert
3197,0,,6,4,No,14,5,Extrovert
3198,0,No,5,4,No,15,,Extrovert
3199,3,No,7,5,No,8,3,Extrovert
3200,8,,3,1,Yes,2,1,Introvert
3201,3,No,9,4,No,11,6,Extrovert
3202,3,No,6,4,No,,4,Extrovert
3203,1,No,6,5,No,15,6,Extrovert
3204,0,No,5,,No,12,8,Extrovert
3205,2,No,9,5,No,7,7,Extrovert
3206,3,No,5,,No,10,9,Extrovert
3207,,No,3,7,No,0,5,Extrovert
3208,8,Yes,1,3,Yes,5,2,Introvert
3209,,No,7,4,No,12,4,Extrovert
3210,1,No,8,4,No,6,5,Extrovert
3211,8,Yes,0,2,Yes,0,1,Introvert
3212,3,No,9,4,No,10,10,Extrovert
3213,6,Yes,0,0,Yes,,2,Introvert
3214,0,,4,7,No,15,5,Extrovert
3215,4,No,9,7,No,13,8,Extrovert
3216,1,No,7,6,No,15,9,Extrovert
3217,6,Yes,1,,Yes,2,2,Introvert
3218,7,Yes,2,3,Yes,2,1,Introvert
3219,3,No,7,,No,12,7,Extrovert
3220,1,No,4,4,No,6,6,Extrovert
3221,,Yes,2,1,Yes,1,1,Introvert
3222,0,,5,5,No,7,8,Extrovert
3223,3,No,6,6,No,5,10,Extrovert
3224,1,No,7,6,No,12,6,Extrovert
3225,7,Yes,1,3,Yes,2,0,Introvert
3226,8,,3,2,Yes,1,0,Introvert
3227,0,No,,3,No,13,7,Extrovert
3228,1,No,5,6,No,5,9,Extrovert
3229,11,,3,,Yes,2,0,Introvert
3230,2,No,6,,No,6,9,Extrovert
3231,1,No,5,7,No,7,6,Extrovert
3232,11,Yes,2,2,Yes,0,2,Introvert
3233,3,No,8,6,,13,8,Extrovert
3234,0,No,10,6,No,11,9,Extrovert
3235,11,Yes,2,1,Yes,,1,Introvert
3236,3,No,3,5,No,9,9,Extrovert
3237,7,Yes,,0,Yes,2,3,Introvert
3238,7,,0,1,Yes,0,0,Introvert
3239,8,,3,2,Yes,5,0,Introvert
3240,1,No,6,4,No,8,5,Extrovert
3241,3,No,5,6,No,13,5,Extrovert
3242,11,Yes,1,,Yes,5,0,Introvert
3243,0,No,6,5,No,11,4,Extrovert
3244,2,No,5,7,No,4,6,Extrovert
3245,0,No,,4,No,7,7,Extrovert
3246,3,No,7,6,No,15,8,Extrovert
3247,4,Yes,1,0,Yes,1,0,Introvert
3248,0,No,5,6,No,4,8,Extrovert
3249,,No,7,6,No,12,5,Extrovert
3250,2,No,8,7,No,15,8,Extrovert
3251,11,Yes,0,2,Yes,0,,Introvert
3252,10,Yes,0,2,Yes,2,0,Introvert
3253,,No,8,7,No,14,9,Extrovert
3254,2,No,4,4,No,5,5,Extrovert
3255,,No,7,5,No,,7,Extrovert
3256,4,No,9,3,No,13,9,Extrovert
3257,2,No,5,4,No,,5,Extrovert
3258,0,No,6,,No,12,3,Extrovert
3259,3,,9,5,No,14,9,Extrovert
3260,3,No,4,3,No,5,3,Extrovert
3261,3,No,5,4,No,15,3,Extrovert
3262,8,,1,2,Yes,1,,Introvert
3263,0,No,,4,No,6,5,Extrovert
3264,1,No,6,7,No,15,5,Extrovert
3265,4,No,6,3,No,9,4,Extrovert
3266,2,No,4,5,No,8,,Extrovert
3267,0,No,,5,No,11,9,Extrovert
3268,1,No,8,5,No,13,3,Extrovert
3269,0,No,8,3,No,7,7,Extrovert
3270,2,No,7,7,No,12,7,Extrovert
3271,1,No,9,4,No,8,6,Extrovert
3272,1,No,9,6,No,6,8,Extrovert
3273,0,No,5,6,No,6,3,Extrovert
3274,0,No,9,7,No,5,4,Extrovert
3275,0,No,4,4,No,6,6,Extrovert
3276,9,Yes,0,2,Yes,0,1,Introvert
3277,0,,5,3,No,12,3,Extrovert
3278,9,,2,1,Yes,3,2,Introvert
3279,4,Yes,1,2,Yes,5,2,Introvert
3280,11,,3,2,Yes,2,0,Introvert
3281,1,No,8,3,No,5,3,Extrovert
3282,4,Yes,0,1,,3,2,Introvert
3283,10,Yes,1,0,Yes,3,,Introvert
3284,3,No,6,3,No,13,7,Extrovert
3285,3,No,9,3,No,13,6,Extrovert
3286,,No,3,2,Yes,5,1,Extrovert
3287,1,No,8,7,No,7,,Extrovert
3288,2,,9,6,No,13,5,Extrovert
3289,8,Yes,0,2,,4,1,Introvert
3290,3,No,10,4,No,6,10,Extrovert
3291,5,Yes,3,2,,3,0,Introvert
3292,4,No,8,6,No,8,8,Extrovert
3293,4,No,10,6,No,13,10,Extrovert
3294,,No,9,5,No,8,6,Extrovert
3295,3,No,6,5,No,7,3,Extrovert
3296,11,Yes,,0,Yes,4,1,Introvert
3297,1,No,5,6,No,8,4,Extrovert
3298,8,Yes,,2,Yes,4,0,Introvert
3299,0,No,9,5,No,4,7,Extrovert
3300,5,Yes,3,1,,4,0,Introvert
3301,3,,9,5,No,8,8,Extrovert
3302,1,No,4,7,No,11,6,Extrovert
3303,1,No,6,6,No,11,3,Extrovert
3304,8,Yes,2,1,Yes,2,3,Introvert
3305,2,No,3,3,No,6,6,Extrovert
3306,10,Yes,0,0,Yes,0,3,Introvert
3307,0,No,5,3,No,6,,Extrovert
3308,1,No,7,5,No,4,4,Extrovert
3309,9,,2,2,Yes,3,2,Introvert
3310,3,No,3,,No,4,2,Extrovert
3311,2,No,3,6,No,12,7,Extrovert
3312,3,No,7,7,No,4,7,Extrovert
3313,,No,9,7,No,6,6,Extrovert
3314,1,,8,7,No,13,7,Extrovert
3315,4,Yes,0,0,Yes,6,0,Introvert
3316,1,No,9,7,No,14,3,Extrovert
3317,2,No,9,5,No,,9,Extrovert
3318,1,No,4,4,No,5,8,Extrovert
3319,3,No,5,,No,14,7,Extrovert
3320,3,No,9,5,No,4,9,Extrovert
3321,7,Yes,0,0,,,0,Extrovert
3322,6,Yes,3,2,Yes,3,,Introvert
3323,0,No,9,7,No,7,7,Extrovert
3324,,No,9,4,No,11,5,Extrovert
3325,1,No,,4,No,12,8,Extrovert
3326,1,No,8,3,No,15,5,Extrovert
3327,0,,7,4,No,8,8,Extrovert
3328,1,No,9,7,No,11,5,Extrovert
3329,6,Yes,,2,Yes,4,0,Introvert
3330,0,No,7,5,No,4,4,Extrovert
3331,0,No,6,6,No,12,6,Extrovert
3332,1,No,7,4,No,15,5,Extrovert
3333,9,Yes,2,1,Yes,10,1,Introvert
3334,11,Yes,1,0,Yes,0,3,Introvert
3335,1,No,6,4,No,10,10,Extrovert
3336,2,No,6,4,No,5,5,Extrovert
3337,0,No,,5,No,7,4,Extrovert
3338,7,Yes,2,0,Yes,1,2,Introvert
3339,10,,0,0,Yes,2,1,Introvert
3340,1,No,9,7,No,6,3,Extrovert
3341,0,No,4,3,No,8,6,Extrovert
3342,2,No,,3,No,15,9,Extrovert
3343,2,No,4,6,No,14,,Extrovert
3344,0,No,6,,No,10,7,Extrovert
3345,,No,9,4,No,13,9,Extrovert
3346,3,No,3,3,No,10,8,Extrovert
3347,2,No,7,6,No,12,5,Extrovert
3348,0,No,7,3,No,6,8,Extrovert
3349,8,Yes,0,0,Yes,0,,Introvert
3350,3,No,3,5,No,14,7,Extrovert
3351,7,Yes,3,1,,1,2,Introvert
3352,,Yes,0,0,Yes,5,2,Introvert
3353,9,Yes,0,2,Yes,4,,Introvert
3354,4,No,7,4,No,8,5,Extrovert
3355,1,No,4,3,No,6,10,Extrovert
3356,3,No,7,7,No,10,3,Extrovert
3357,0,No,6,6,No,12,5,Extrovert
3358,4,,3,0,Yes,,0,Introvert
3359,,,5,7,No,7,5,Extrovert
3360,8,Yes,,0,Yes,1,3,Introvert
3361,9,Yes,1,3,Yes,3,3,Introvert
3362,2,No,7,3,No,8,7,Extrovert
3363,1,No,4,3,No,14,,Extrovert
3364,1,No,8,3,No,15,,Extrovert
3365,3,No,9,7,No,10,4,Extrovert
3366,1,No,6,,No,9,7,Extrovert
3367,3,No,5,3,No,15,5,Extrovert
3368,0,No,8,5,No,14,7,Extrovert
3369,6,Yes,2,1,Yes,5,3,Introvert
3370,,Yes,1,1,Yes,1,1,Introvert
3371,8,Yes,3,1,Yes,5,1,Introvert
3372,2,,9,3,,11,4,Extrovert
3373,1,No,3,6,No,5,,Extrovert
3374,1,No,7,6,No,7,9,Extrovert
3375,2,No,8,5,No,10,9,Extrovert
3376,5,Yes,2,1,Yes,3,0,Introvert
3377,1,No,4,4,No,,5,Extrovert
3378,0,No,,4,No,11,6,Extrovert
3379,0,No,9,,No,10,9,Extrovert
3380,3,No,,4,No,12,6,Extrovert
3381,3,,9,5,No,14,4,Extrovert
3382,3,No,3,4,No,12,5,Extrovert
3383,1,No,6,3,No,8,,Extrovert
3384,4,No,7,7,No,9,9,Extrovert
3385,4,No,10,7,No,10,9,Extrovert
3386,9,,0,1,Yes,4,,Introvert
3387,,Yes,2,2,Yes,3,0,Introvert
3388,3,No,4,6,No,11,9,Extrovert
3389,9,Yes,1,0,,,2,Introvert
3390,2,No,8,6,No,14,,Extrovert
3391,6,Yes,3,1,Yes,,0,Introvert
3392,7,Yes,1,2,Yes,1,3,Introvert
3393,3,,9,6,No,12,4,Extrovert
3394,2,No,5,4,No,5,3,Extrovert
3395,5,Yes,0,2,,5,2,Introvert
3396,5,Yes,1,2,Yes,5,1,Introvert
3397,3,No,8,5,No,,7,Extrovert
3398,1,No,5,7,No,6,7,Introvert
3399,0,No,7,3,No,15,3,Extrovert
3400,4,Yes,1,0,Yes,1,,Introvert
3401,3,No,8,6,No,15,7,Extrovert
3402,6,,,0,Yes,5,0,Introvert
3403,0,No,3,7,No,8,7,Extrovert
3404,2,No,4,6,No,7,10,Extrovert
3405,7,Yes,3,1,Yes,,2,Introvert
3406,1,No,7,3,No,8,7,Extrovert
3407,0,No,8,6,No,6,7,Extrovert
3408,,No,4,5,No,6,3,Extrovert
3409,10,Yes,,1,Yes,4,2,Introvert
3410,4,Yes,,,Yes,5,1,Extrovert
3411,2,No,8,4,No,13,,Extrovert
3412,3,,8,5,No,12,5,Extrovert
3413,1,No,4,3,No,9,5,Extrovert
3414,9,Yes,1,2,Yes,3,,Introvert
3415,1,Yes,0,0,Yes,3,0,Introvert
3416,1,No,7,4,No,10,3,Extrovert
3417,0,No,,3,No,6,4,Extrovert
3418,2,No,7,4,No,15,,Extrovert
3419,2,No,,4,No,8,4,Extrovert
3420,0,No,4,7,No,12,7,Extrovert
3421,3,No,7,6,,12,7,Extrovert
3422,5,Yes,2,0,Yes,2,1,Introvert
3423,2,No,4,6,No,12,8,Extrovert
3424,9,Yes,0,2,Yes,1,3,Introvert
3425,2,No,7,5,No,13,9,Extrovert
3426,3,No,4,3,No,7,4,Extrovert
3427,,Yes,1,0,Yes,1,0,Introvert
3428,1,No,4,6,No,6,,Extrovert
3429,1,No,4,6,No,14,6,Extrovert
3430,0,No,3,6,No,6,3,Extrovert
3431,6,Yes,3,1,Yes,5,0,Introvert
3432,0,No,4,,No,7,6,Extrovert
3433,,No,5,6,No,7,9,Extrovert
3434,3,No,8,4,No,11,6,Extrovert
3435,0,No,7,2,No,,2,Extrovert
3436,0,,6,7,No,7,6,Extrovert
3437,0,No,4,,No,5,3,Extrovert
3438,8,Yes,0,1,Yes,2,,Introvert
3439,7,Yes,,2,Yes,5,1,Introvert
3440,0,No,4,5,No,5,5,Extrovert
3441,0,No,8,4,No,5,10,Extrovert
3442,2,No,9,7,No,10,7,Extrovert
3443,9,Yes,3,3,Yes,2,0,Introvert
3444,3,No,8,4,No,7,7,Extrovert
3445,0,No,10,5,No,8,9,Extrovert
3446,5,,3,1,Yes,1,0,Introvert
3447,3,No,10,4,No,12,4,Extrovert
3448,3,No,6,3,No,8,5,Extrovert
3449,10,,1,0,Yes,4,0,Introvert
3450,,No,4,6,No,15,,Extrovert
3451,0,No,8,3,No,12,7,Extrovert
3452,2,No,4,4,No,13,,Extrovert
3453,10,Yes,3,,Yes,,2,Introvert
3454,,No,10,6,No,12,5,Extrovert
3455,0,,5,,No,14,5,Extrovert
3456,2,No,8,5,No,12,,Extrovert
3457,10,,3,2,Yes,1,2,Introvert
3458,2,No,,4,No,,7,Extrovert
3459,2,,6,3,No,14,7,Extrovert
3460,0,No,4,6,No,4,4,Extrovert
3461,0,No,9,6,No,6,6,Extrovert
3462,2,No,5,4,No,8,6,Extrovert
3463,3,No,9,3,No,8,,Extrovert
3464,2,No,4,4,No,5,8,Extrovert
3465,2,No,3,4,No,8,4,Extrovert
3466,0,No,8,7,No,5,8,Extrovert
3467,7,Yes,2,2,,,0,Introvert
3468,0,No,7,5,No,5,3,Extrovert
3469,0,No,7,5,No,9,5,Extrovert
3470,8,Yes,1,3,Yes,5,1,Extrovert
3471,2,No,9,6,No,14,,Extrovert
3472,2,No,4,7,No,15,5,Extrovert
3473,1,No,4,,No,12,7,Extrovert
3474,2,No,7,7,No,8,7,Extrovert
3475,6,,3,0,Yes,4,1,Introvert
3476,1,No,8,3,No,14,3,Extrovert
3477,0,No,8,7,No,12,3,Extrovert
3478,0,No,5,,No,9,6,Extrovert
3479,1,No,9,4,No,,7,Extrovert
3480,11,No,10,4,No,6,5,Extrovert
3481,0,No,8,7,No,7,3,Extrovert
3482,2,No,7,5,No,7,4,Extrovert
3483,3,No,4,3,No,12,3,Extrovert
3484,2,No,4,6,No,11,,Extrovert
3485,0,No,7,3,No,13,8,Extrovert
3486,2,No,4,5,No,6,9,Extrovert
3487,,No,8,4,No,8,6,Extrovert
3488,1,,,7,No,8,,Extrovert
3489,3,No,5,6,No,14,7,Extrovert
3490,0,No,4,4,No,4,4,Extrovert
3491,4,No,7,5,No,10,5,Extrovert
3492,3,,8,6,No,,4,Extrovert
3493,,No,9,3,No,11,6,Extrovert
3494,2,No,5,5,No,8,5,Extrovert
3495,0,No,6,3,No,11,4,Extrovert
3496,2,No,9,7,No,5,3,Extrovert
3497,8,Yes,,0,Yes,4,0,Introvert
3498,,No,5,7,No,10,3,Extrovert
3499,10,Yes,2,,Yes,3,0,Introvert
3500,3,No,8,7,No,11,7,Extrovert
3501,0,No,,5,No,11,7,Extrovert
3502,0,No,6,4,No,5,5,Extrovert
3503,1,No,3,5,No,10,5,Extrovert
3504,3,No,1,6,No,4,,Extrovert
3505,0,No,8,3,No,14,9,Extrovert
3506,0,No,7,4,No,13,7,Extrovert
3507,1,No,8,6,No,13,5,Extrovert
3508,4,Yes,2,1,Yes,1,2,Introvert
3509,3,No,4,7,No,5,9,Extrovert
3510,1,No,5,7,No,12,5,Extrovert
3511,3,No,5,,No,14,4,Extrovert
3512,,No,8,4,No,5,7,Extrovert
3513,9,Yes,0,2,Yes,,1,Introvert
3514,10,,2,0,Yes,3,1,Introvert
3515,6,Yes,3,3,Yes,1,1,Introvert
3516,5,Yes,,1,Yes,2,2,Introvert
3517,2,No,5,7,No,14,9,Extrovert
3518,2,No,8,5,,13,4,Extrovert
3519,1,No,7,7,No,4,3,Extrovert
3520,3,No,7,4,No,15,3,Extrovert
3521,1,No,6,7,No,7,,Extrovert
3522,3,No,9,5,No,6,4,Extrovert
3523,3,No,6,6,No,6,4,Extrovert
3524,0,No,4,6,No,13,9,Extrovert
3525,1,No,4,6,,7,7,Extrovert
3526,1,No,,5,No,12,4,Extrovert
3527,9,Yes,0,,Yes,0,2,Introvert
3528,0,No,4,6,No,3,9,Extrovert
3529,3,No,4,,No,6,6,Extrovert
3530,7,Yes,0,,Yes,0,1,Introvert
3531,2,No,,7,No,8,5,Extrovert
3532,6,Yes,,1,Yes,1,0,Introvert
3533,0,No,7,4,No,8,5,Extrovert
3534,2,No,5,7,No,9,4,Extrovert
3535,5,Yes,,2,Yes,3,1,Introvert
3536,4,No,7,6,No,12,10,Extrovert
3537,11,Yes,2,1,Yes,1,0,Introvert
3538,2,,5,7,No,13,4,Extrovert
3539,3,No,8,7,No,15,5,Extrovert
3540,5,Yes,3,0,Yes,4,1,Introvert
3541,6,Yes,3,2,Yes,,1,Introvert
3542,9,Yes,,0,Yes,5,0,Introvert
3543,1,No,5,,No,13,3,Extrovert
3544,2,No,4,6,No,9,8,Extrovert
3545,,No,4,4,No,12,4,Extrovert
3546,6,,0,,No,4,2,Extrovert
3547,10,Yes,1,0,Yes,4,,Introvert
3548,3,No,8,7,No,5,9,Extrovert
3549,2,No,4,6,No,12,3,Extrovert
3550,4,Yes,3,1,Yes,0,1,Introvert
3551,9,Yes,2,,Yes,,0,Introvert
3552,3,No,6,4,No,11,,Extrovert
3553,2,No,6,3,No,12,,Extrovert
3554,1,No,7,7,No,13,9,Extrovert
3555,2,No,9,3,No,8,10,Extrovert
3556,4,Yes,1,1,Yes,,,Introvert
3557,3,,8,3,No,11,8,Extrovert
3558,2,No,7,7,No,14,10,Introvert
3559,1,No,9,7,No,13,5,Extrovert
3560,5,Yes,,2,Yes,2,2,Introvert
3561,1,No,,3,No,,4,Extrovert
3562,4,Yes,0,0,Yes,4,1,Introvert
3563,3,No,8,4,No,5,6,Extrovert
3564,4,No,4,5,No,1,6,Extrovert
3565,7,Yes,1,0,Yes,1,,Extrovert
3566,1,No,9,6,No,9,6,Extrovert
3567,,No,4,,No,11,9,Extrovert
3568,0,,5,,No,15,8,Extrovert
3569,4,No,9,7,No,7,8,Extrovert
3570,7,Yes,1,,Yes,1,0,Introvert
3571,2,No,7,7,No,13,4,Extrovert
3572,2,No,4,6,No,14,9,Extrovert
3573,3,No,6,4,No,9,4,Extrovert
3574,4,Yes,3,2,Yes,4,2,Introvert
3575,3,No,7,7,No,8,4,Extrovert
3576,1,No,4,3,No,7,5,Extrovert
3577,3,No,,3,No,10,,Extrovert
3578,1,No,7,7,No,8,7,Extrovert
3579,6,,0,0,Yes,1,2,Introvert
3580,3,No,5,3,No,,3,Extrovert
3581,3,No,7,5,No,8,7,Extrovert
3582,2,No,7,7,No,8,6,Extrovert
3583,11,,1,1,Yes,3,0,Introvert
3584,0,No,5,4,No,4,3,Extrovert
3585,9,No,8,4,No,7,,Extrovert
3586,2,No,5,6,,7,6,Extrovert
3587,6,Yes,2,1,Yes,7,0,Introvert
3588,5,Yes,2,3,Yes,2,1,Introvert
3589,1,No,,5,No,10,8,Extrovert
3590,1,No,,6,No,12,,Extrovert
3591,1,No,,6,No,10,8,Extrovert
3592,1,No,9,,No,9,7,Extrovert
3593,11,Yes,1,2,Yes,,1,Introvert
3594,4,,0,2,Yes,5,2,Introvert
3595,6,Yes,0,3,Yes,0,3,Introvert
3596,8,Yes,,0,Yes,1,2,Introvert
3597,4,No,4,3,No,7,7,Extrovert
3598,3,No,8,6,No,4,4,Extrovert
3599,1,No,8,4,,6,8,Extrovert
3600,10,Yes,0,2,,1,2,Introvert
3601,11,Yes,0,2,,1,0,Introvert
3602,3,No,8,5,No,15,4,Extrovert
3603,1,No,8,6,No,8,5,Extrovert
3604,2,No,9,,No,12,7,Extrovert
3605,7,Yes,2,1,Yes,5,3,Introvert
3606,9,,1,1,,2,2,Introvert
3607,2,No,9,4,No,11,9,Extrovert
3608,4,No,7,,No,11,8,Extrovert
3609,0,No,6,5,No,15,10,Extrovert
3610,9,Yes,2,1,Yes,2,,Introvert
3611,1,No,7,5,No,15,5,Extrovert
3612,2,,5,5,No,12,9,Extrovert
3613,2,No,4,7,No,7,6,Extrovert
3614,0,No,6,3,No,13,5,Extrovert
3615,7,Yes,2,1,Yes,4,,Introvert
3616,1,No,7,7,No,13,3,Extrovert
3617,0,No,5,5,No,7,6,Extrovert
3618,7,Yes,0,1,Yes,0,3,Introvert
3619,3,No,4,5,No,8,,Extrovert
3620,1,No,4,3,No,15,9,Extrovert
3621,2,No,8,7,No,11,5,Introvert
3622,3,No,6,3,No,10,4,Extrovert
3623,0,No,6,6,No,9,3,Extrovert
3624,11,Yes,0,3,Yes,3,3,Introvert
3625,2,No,6,,No,7,8,Extrovert
3626,1,No,6,5,No,9,6,Extrovert
3627,11,Yes,1,,Yes,1,2,Introvert
3628,0,No,4,3,No,9,6,Extrovert
3629,2,,6,3,No,12,6,Extrovert
3630,1,No,,5,No,6,8,Extrovert
3631,4,Yes,0,2,Yes,,1,Introvert
3632,1,No,8,4,No,15,7,Extrovert
3633,1,No,3,4,No,6,5,Extrovert
3634,4,No,9,7,No,14,9,Extrovert
3635,,No,8,6,No,6,9,Extrovert
3636,5,Yes,1,0,Yes,4,4,Introvert
3637,,,6,7,No,5,9,Extrovert
3638,0,No,5,7,No,14,,Extrovert
3639,3,No,10,3,No,8,9,Extrovert
3640,4,No,7,7,No,7,10,Extrovert
3641,1,No,4,6,No,11,8,Extrovert
3642,7,Yes,0,0,Yes,4,1,Extrovert
3643,1,No,7,4,No,,9,Extrovert
3644,,No,6,6,No,8,5,Extrovert
3645,2,No,5,6,No,6,3,Extrovert
3646,3,No,8,5,No,5,8,Extrovert
3647,5,Yes,2,2,,0,0,Introvert
3648,4,Yes,,0,Yes,0,2,Introvert
3649,11,Yes,2,1,Yes,1,3,Introvert
3650,0,No,7,3,No,15,6,Extrovert
3651,2,No,6,4,No,10,9,Extrovert
3652,0,No,8,6,,6,8,Extrovert
3653,1,No,6,6,No,13,8,Extrovert
3654,0,No,3,7,No,15,8,Extrovert
3655,10,Yes,1,0,Yes,4,2,Introvert
3656,11,Yes,,2,Yes,2,2,Introvert
3657,,No,7,6,No,15,10,Introvert
3658,0,,4,4,No,9,8,Extrovert
3659,1,No,4,,No,14,3,Extrovert
3660,3,No,9,5,No,4,6,Extrovert
3661,2,No,4,6,No,5,7,Extrovert
3662,7,Yes,1,,Yes,2,0,Introvert
3663,0,No,9,3,No,12,7,Extrovert
3664,1,No,7,7,No,5,8,Extrovert
3665,4,Yes,1,1,Yes,0,2,Introvert
3666,0,No,4,4,No,12,7,Extrovert
3667,2,No,5,4,No,9,8,Extrovert
3668,1,No,7,4,No,15,7,Extrovert
3669,1,No,4,6,No,14,4,Extrovert
3670,5,Yes,3,0,Yes,,3,Extrovert
3671,0,No,6,7,No,9,3,Extrovert
3672,1,No,9,7,No,14,6,Extrovert
3673,10,Yes,1,3,Yes,3,3,Introvert
3674,4,No,7,3,No,7,7,Extrovert
3675,0,No,7,4,No,10,,Extrovert
3676,0,No,4,5,No,8,4,Extrovert
3677,0,No,,5,No,12,7,Extrovert
3678,0,No,8,5,No,11,3,Extrovert
3679,1,No,8,4,No,10,9,Extrovert
3680,1,No,3,7,No,7,3,Introvert
3681,1,No,5,7,No,15,3,Extrovert
3682,3,No,,4,No,10,7,Introvert
3683,10,Yes,2,,Yes,3,2,Introvert
3684,3,No,5,3,No,,10,Extrovert
3685,,No,7,4,No,8,4,Extrovert
3686,3,No,5,5,No,14,4,Extrovert
3687,4,Yes,1,2,,4,0,Introvert
3688,1,No,3,5,No,4,6,Extrovert
3689,2,,9,5,No,10,9,Extrovert
3690,3,No,4,,No,12,6,Extrovert
3691,,No,6,5,No,15,4,Extrovert
3692,9,Yes,3,0,Yes,1,1,Introvert
3693,4,Yes,2,0,Yes,5,3,Extrovert
3694,10,Yes,2,0,,5,0,Introvert
3695,3,No,8,3,No,5,3,Extrovert
3696,,No,4,7,No,12,5,Extrovert
3697,1,No,9,7,No,11,7,Introvert
3698,1,No,7,3,No,5,7,Extrovert
3699,0,No,10,5,No,15,3,Extrovert
3700,9,No,3,2,No,4,2,Extrovert
3701,4,Yes,2,2,Yes,5,2,Introvert
3702,1,No,5,3,No,,3,Extrovert
3703,2,No,4,7,No,8,5,Extrovert
3704,0,No,6,,No,7,5,Extrovert
3705,3,No,6,7,,8,7,Extrovert
3706,0,No,9,3,No,5,3,Extrovert
3707,1,No,,4,No,10,5,Extrovert
3708,9,Yes,2,0,Yes,,0,Introvert
3709,1,No,9,7,,6,7,Extrovert
3710,,No,8,7,No,6,,Introvert
3711,4,No,7,7,No,13,7,Extrovert
3712,2,No,,4,No,8,8,Extrovert
3713,1,No,4,5,,12,3,Extrovert
3714,,No,5,5,No,11,,Extrovert
3715,3,No,6,4,No,11,4,Extrovert
3716,2,No,3,6,No,7,4,Extrovert
3717,4,No,5,7,No,9,9,Extrovert
3718,2,No,9,6,No,12,4,Extrovert
3719,1,No,9,5,No,,3,Extrovert
3720,3,No,5,5,,5,6,Extrovert
3721,2,,4,6,No,8,7,Extrovert
3722,8,Yes,1,2,Yes,2,2,Introvert
3723,0,No,,6,No,12,7,Extrovert
3724,3,No,10,4,No,12,8,Extrovert
3725,0,No,5,6,No,4,5,Extrovert
3726,11,,2,0,Yes,2,2,Introvert
3727,2,No,6,5,No,15,6,Extrovert
3728,1,No,5,3,No,8,7,Extrovert
3729,3,No,4,6,No,,6,Extrovert
3730,1,No,6,4,No,10,4,Extrovert
3731,8,Yes,0,2,Yes,2,3,Introvert
3732,3,No,5,4,No,6,6,Extrovert
3733,2,No,4,7,No,13,9,Extrovert
3734,0,No,5,4,No,6,6,Extrovert
3735,0,No,8,6,No,,6,Extrovert
3736,0,No,9,6,No,12,10,Extrovert
3737,11,Yes,3,2,Yes,1,0,Introvert
3738,3,,7,7,No,10,9,Extrovert
3739,,Yes,1,0,Yes,1,1,Introvert
3740,4,No,7,6,No,4,6,Extrovert
3741,3,No,6,5,No,8,3,Extrovert
3742,3,No,4,,No,8,,Extrovert
